序号,订单编号,所属用户,姓名,级别,所属国家,认证国家,所属上级,产品,购买方向,交易模式,初始保证金,最终保证金,包含体验金,杠杆,执行价,仓位,止盈价,止损价,当前价格,实时盈亏,手续费,追加手续费,每日过夜费用,过夜总费用,是否过夜,设备类型,下单时间,
57,0bd44cc79ee345daa1bb2b082dddf529,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32801.49250000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.272643,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:33,
58,f6ae3f32e0e44f5bbe12718affd3dc9d,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32801.49250000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.272643,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:32,
59,2f365b546461444da3f07e9660070700,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32803.30750000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.278175,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:32,
60,26b4aee6ccad422bbd659698ae5cb74b,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32803.30750000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.278175,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:31,
61,637ea13ca4d740ef924b6366fd08fe2c,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32803.30750000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.278175,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:31,
62,c6fae721729447ada3093fe6a5b2b0c6,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32807.29750000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.290337,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:30,
63,9825d648e9fc479990c8d0ec9aaa1527,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32801.85250000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.273740,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:30,
64,7baf3c8741da4a8599de3c9f8213ccec,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32801.85250000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.273740,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:29,
65,5a36b30b9cec43e28e716db2dc6fea5d,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32801.85250000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.273740,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:29,
66,9bc89a10cb0a40b3864a86e57639344d,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32796.02500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.256062,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:28,
67,43d983d2d00d455e8339dc25592acce1,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32796.02500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.256062,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:28,
68,8cdc523b06f14e2aab1c8870be168860,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32798.05000000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.262150,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:27,
69,9eb64aa19f1142fe84c28da08f3426bf,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32798.05000000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.262150,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:27,
70,ba3f014480e74a27b637b34aa6798471,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32787.60250000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.230382,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:26,
71,dc4441734c6d4472a7a89b7065b3d0bb,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32787.60250000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.230382,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:26,
72,f383b44bb7ca4eb0b905582583f09881,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32788.24500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.232341,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:25,
73,26c12b37bd314eb6a346edd9986174c4,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32788.24500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.232341,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:25,
74,a6e9b827ba9f46c0aeb84934c3d4716b,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32787.54000000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.230191,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:24,
75,bf6a258c3df440ea9146277dfd395e35,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32788.24500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.232341,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:23,
76,a485d2c0a82e44b4b5bdc392bfb52663,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32788.24500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.232341,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:23,
77,81c5a742a1ee4a3da53c418ad90df890,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32789.01000000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.234673,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:22,
78,1448c0eac1d04594859a008a746606ac,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32795.77500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.255300,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:22,
79,aa5ce91b1f34471d94a0ad38fe277238,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32789.01000000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.234673,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:22,
80,3499d267518148cab8f6e1eee6262c78,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32787.57000000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.230283,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:21,
81,306324f1de664fc288ff0fc43c21249f,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32795.77500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.255300,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:21,
82,7a412c8a2c314d4c92758a57ae1f92ec,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32785.11000000,0.003050,39078.70000000,29960.33000000,32712.04250000,-0.222855,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:20,
83,0371a8acf812437fae6a5dd9a85c2d2b,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32787.57000000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.230283,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:20,
84,c47a75dab1b74c05ac37d0b76ea4186d,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32792.12000000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.244156,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:19,
